Period,Scenario,LoadLevel,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
2020,sc01,01-01 00:00:00+01:00,1.1,264,44,176,264,88,110,16.5,110
2020,sc01,01-01 01:00:00+01:00,1.053218324,252.7723979,42.12873299,168.514932,252.7723979,84.25746597,105.3218325,15.79827487,105.3218325
2020,sc01,01-01 02:00:00+01:00,1.009922011,242.3812826,40.39688044,161.5875217,242.3812826,80.79376086,100.9922011,15.14883016,100.9922011
2020,sc01,01-01 03:00:00+01:00,0.97980833,235.1539991,39.19233318,156.7693327,235.1539991,78.38466636,97.98083295,14.69712495,97.98083295
2020,sc01,01-01 04:00:00+01:00,0.956393869,229.5345285,38.25575476,153.0230191,229.5345285,76.51150951,95.6393869,14.34590804,95.6393869
2020,sc01,01-01 05:00:00+01:00,0.951247129,228.299311,38.04988517,152.1995407,228.299311,76.09977033,95.12471291,14.26870694,95.12471291
2020,sc01,01-01 06:00:00+01:00,0.949525833,227.8862,37.98103333,151.9241334,227.8862,75.96206668,94.95258334,14.24288751,94.95258334
2020,sc01,01-01 07:00:00+01:00,0.959776739,230.3464173,38.39106955,153.5642782,230.3464173,76.7821391,95.97767388,14.39665108,95.97767388
2020,sc01,01-01 08:00:00+01:00,0.987859048,237.0861714,39.51436191,158.0574477,237.0861714,79.02872382,98.78590478,14.81788572,98.78590478
2020,sc01,01-01 09:00:00+01:00,1.040772855,249.7854852,41.63091419,166.5236568,249.7854852,83.26182838,104.0772855,15.61159282,104.0772855
2020,sc01,01-01 10:00:00+01:00,1.080473595,259.3136627,43.2189438,172.8757752,259.3136627,86.43788759,108.0473595,16.20710392,108.0473595
2020,sc01,01-01 11:00:00+01:00,1.109781776,266.3476264,44.39127106,177.5650842,266.3476264,88.78254211,110.9781776,16.64672665,110.9781776
2020,sc01,01-01 12:00:00+01:00,1.106712173,265.6109213,44.26848688,177.0739475,265.6109213,88.53697377,110.6712173,16.60068258,110.6712173
2020,sc01,01-01 13:00:00+01:00,1.106069221,265.4566131,44.24276885,176.9710754,265.4566131,88.48553769,110.6069221,16.59103832,110.6069221
2020,sc01,01-01 14:00:00+01:00,1.123757601,269.7018242,44.95030404,179.8012161,269.7018242,89.90060806,112.3757601,16.85636401,112.3757601
2020,sc01,01-01 15:00:00+01:00,1.175198509,282.0476421,47.00794036,188.0317614,282.0476421,94.01588072,117.5198509,17.62797763,117.5198509
2020,sc01,01-01 16:00:00+01:00,1.236682542,296.8038101,49.46730168,197.8692067,296.8038101,98.93460335,123.6682542,18.55023812,123.6682542
2020,sc01,01-01 17:00:00+01:00,1.270594431,304.9426633,50.82377722,203.2951089,304.9426633,101.6475544,127.0594431,19.05891646,127.0594431
2020,sc01,01-01 18:00:00+01:00,1.265436613,303.7047872,50.61746455,202.4698581,303.7047872,101.2349291,126.5436613,18.9815492,126.5436613
2020,sc01,01-01 19:00:00+01:00,1.247161843,299.3188425,49.88647375,199.545895,299.3188425,99.77294749,124.7161843,18.70742765,124.7161843
2020,sc01,01-01 20:00:00+01:00,1.222056158,293.293478,48.88224633,195.5289853,293.293478,97.76449264,122.2056158,18.33084238,122.2056158
2020,sc01,01-01 21:00:00+01:00,1.18960363,285.5048711,47.58414518,190.3365807,285.5048711,95.16829035,118.960363,17.84405444,118.960363
2020,sc01,01-01 22:00:00+01:00,1.134909392,272.3782542,45.39637571,181.5855028,272.3782542,90.79275141,113.4909392,17.02364089,113.4909392
2020,sc01,01-01 23:00:00+01:00,1.074021792,257.7652301,42.96087168,171.8434868,257.7652301,85.92174337,107.4021792,16.11032688,107.4021792
2020,sc01,01-02 00:00:00+01:00,1.04078452,249.7882847,41.63138077,166.5255231,249.7882847,83.26276155,104.0784519,15.61176779,104.0784519
2020,sc01,01-02 01:00:00+01:00,1.016088409,243.8612182,40.64353635,162.5741455,243.8612182,81.28707271,101.6088409,15.24132613,101.6088409
2020,sc01,01-02 02:00:00+01:00,0.998720791,239.6929899,39.94883166,159.7953266,239.6929899,79.89766331,99.87207913,14.98081187,99.87207913
2020,sc01,01-02 03:00:00+01:00,1.008578821,242.0589171,40.34315285,161.3726114,242.0589171,80.68630569,100.8578821,15.12868232,100.8578821
2020,sc01,01-02 04:00:00+01:00,1.061830201,254.8392484,42.47320807,169.8928322,254.8392484,84.94641614,106.1830202,15.92745303,106.1830202
2020,sc01,01-02 05:00:00+01:00,1.159794235,278.3506163,46.39176938,185.5670775,278.3506163,92.78353875,115.9794235,17.39691351,115.9794235
2020,sc01,01-02 06:00:00+01:00,1.259957951,302.3899082,50.39831803,201.5932721,302.3899082,100.796636,125.9957951,18.89936926,125.9957951
2020,sc01,01-02 07:00:00+01:00,1.34145293,321.9487033,53.65811722,214.6324688,321.9487033,107.3162344,134.145293,20.12179396,134.145293
2020,sc01,01-02 08:00:00+01:00,1.398999592,335.7599021,55.95998368,223.8399347,335.7599021,111.9199674,139.8999592,20.98499388,139.8999592
2020,sc01,01-02 09:00:00+01:00,1.444720658,346.7329578,57.78882629,231.1553052,346.7329578,115.5776526,144.4720658,21.67080985,144.4720658
2020,sc01,01-02 10:00:00+01:00,1.462968098,351.1123435,58.51872391,234.0748957,351.1123435,117.0374478,146.2968098,21.94452147,146.2968098
2020,sc01,01-02 11:00:00+01:00,1.461522389,350.7653732,58.46089554,233.8435822,350.7653732,116.921791,146.1522389,21.92283583,146.1522389
2020,sc01,01-02 12:00:00+01:00,1.453353738,348.804897,58.1341495,232.536598,348.804897,116.268299,145.3353738,21.80030607,145.3353738
