Period,Scenario,LoadLevel,Nuclear,DomesticCoal_Anthracite,BrownLignite,ImportedCoal_SubBituminous,ImportedCoal_Bituminous,CCGT_1,CCGT_2,CCGT_3,CCGT_4,OCGT_1,OCGT_2,OCGT_3,FuelOilGas,WindFarm_1,SolarPV_1,ESS1,CCGT_5,CCGT_6,CCGT_7,CCGT_8,SolarPV_2
2045,sc01,03-24 20:00:00+01:00,,,,,,,,,,,,,,250.42595,0,,,,,,0
2045,sc01,03-24 21:00:00+01:00,,,,,,,,,,,,,,240.770425,0,,,,,,0
2045,sc01,03-24 22:00:00+01:00,,,,,,,,,,,,,,239.522675,0,,,,,,0
2045,sc01,03-24 23:00:00+01:00,,,,,,,,,,,,,,229.656175,0,,,,,,0
2045,sc01,03-25 00:00:00+01:00,,,,,,,,,,,,,,229.74345,0,,,,,,0
2045,sc01,03-25 01:00:00+01:00,,,,,,,,,,,,,,226.227675,0,,,,,,0
2045,sc01,03-25 02:00:00+01:00,,,,,,,,,,,,,,230.106325,0,,,,,,0
2045,sc01,03-25 03:00:00+01:00,,,,,,,,,,,,,,249.554525,0,,,,,,0
2045,sc01,03-25 04:00:00+01:00,,,,,,,,,,,,,,259.222225,0,,,,,,0
2045,sc01,03-25 05:00:00+01:00,,,,,,,,,,,,,,267.443675,0,,,,,,0
2045,sc01,03-25 06:00:00+01:00,,,,,,,,,,,,,,275.62205,0.0175,,,,,,0.0175
2045,sc01,03-25 07:00:00+01:00,,,,,,,,,,,,,,287.331075,2.22795,,,,,,2.22795
2045,sc01,03-25 08:00:00+01:00,,,,,,,,,,,,,,302.011,21.7597,,,,,,21.7597
2045,sc01,03-25 09:00:00+01:00,,,,,,,,,,,,,,324.265375,46.398975,,,,,,46.398975
2045,sc01,03-25 10:00:00+01:00,,,,,,,,,,,,,,357.88805,63.4448,,,,,,63.4448
2045,sc01,03-25 11:00:00+01:00,,,,,,,,,,,,,,371.470025,73.52135,,,,,,73.52135
2045,sc01,03-25 12:00:00+01:00,,,,,,,,,,,,,,376.11115,78.319025,,,,,,78.319025
2045,sc01,03-25 13:00:00+01:00,,,,,,,,,,,,,,379.385675,75.6775,,,,,,75.6775
2045,sc01,03-25 14:00:00+01:00,,,,,,,,,,,,,,379.69795,70.98155,,,,,,70.98155
2045,sc01,03-25 15:00:00+01:00,,,,,,,,,,,,,,378.815,62.50785,,,,,,62.50785
2045,sc01,03-25 16:00:00+01:00,,,,,,,,,,,,,,375.24585,49.901625,,,,,,49.901625
2045,sc01,03-25 17:00:00+01:00,,,,,,,,,,,,,,361.712,34.76655,,,,,,34.76655
2045,sc01,03-25 18:00:00+01:00,,,,,,,,,,,,,,342.5363,14.864125,,,,,,14.864125
2045,sc01,03-25 19:00:00+01:00,,,,,,,,,,,,,,309.090925,0.7944,,,,,,0.7944
2045,sc01,03-25 20:00:00+01:00,,,,,,,,,,,,,,292.70925,0,,,,,,0
2045,sc01,03-25 21:00:00+01:00,,,,,,,,,,,,,,278.01465,0,,,,,,0
2045,sc01,03-25 22:00:00+01:00,,,,,,,,,,,,,,270.0754,0,,,,,,0
2045,sc01,03-25 23:00:00+01:00,,,,,,,,,,,,,,259.2628,0,,,,,,0
2045,sc01,03-26 00:00:00+01:00,,,,,,,,,,,,,,250.825225,0,,,,,,0
2045,sc01,03-26 01:00:00+01:00,,,,,,,,,,,,,,250.27655,0,,,,,,0
2045,sc01,03-26 02:00:00+01:00,,,,,,,,,,,,,,245.527275,0,,,,,,0
2045,sc01,03-26 03:00:00+01:00,,,,,,,,,,,,,,241.3631,0,,,,,,0
2045,sc01,03-26 04:00:00+01:00,,,,,,,,,,,,,,245.048675,0,,,,,,0
2045,sc01,03-26 05:00:00+01:00,,,,,,,,,,,,,,251.527775,0,,,,,,0
2045,sc01,03-26 06:00:00+01:00,,,,,,,,,,,,,,257.84345,0.017375,,,,,,0.017375
