,Demand,Solar,Wind,Hydro
01-05 02:00:00+01:00,5182.440943,0.57,2387.8,111.4
01-05 03:00:00+01:00,5185.548809,0.57,2399.5,125
01-05 04:00:00+01:00,5225.020143,0.57,2383.8,134.6
01-05 05:00:00+01:00,5308.675067,0.57,2380.2,135.8
01-05 06:00:00+01:00,5409.69325,0.57,2401.7,120.4
01-05 07:00:00+01:00,5405.102046,822.41,2328.1,208.4
01-05 08:00:00+01:00,5452.320537,1515.7,2204,161.6
01-05 09:00:00+01:00,5495.828025,1982.7,2320.3,169.4
01-05 10:00:00+01:00,5503.810287,2076.6,2105.1,169.2
01-05 11:00:00+01:00,5499.020017,2235.6,1620.9,186.2
01-05 12:00:00+01:00,5481.893135,2212.7,1543.6,218.6
01-05 13:00:00+01:00,5465.809498,2068.9,1320,194.2
01-05 14:00:00+01:00,5459.08932,1755.7,1403.5,194.2
01-05 15:00:00+01:00,5455.028477,1049.7,1196.3,189
01-05 16:00:00+01:00,5626.970149,0.57,921.9,167
01-05 17:00:00+01:00,6079.42604,0.57,341.31,163.4
01-05 18:00:00+01:00,6157.40431,0.57,360.5,165.8
01-05 19:00:00+01:00,6103.14147,0.57,498.7,162.6
01-05 20:00:00+01:00,5960.567885,0.57,789.3,201
01-05 21:00:00+01:00,5755.914676,0.57,874.2,209.6
01-05 22:00:00+01:00,5518.801293,0.57,1103.2,221.8
01-05 23:00:00+01:00,5352.149298,0.57,1509.6,104
01-06 00:00:00+01:00,5221.486747,0.57,1935.7,211.8
01-06 01:00:00+01:00,5184.725151,0.57,1973.8,203.4
01-06 02:00:00+01:00,5168.784901,0.57,2008.1,191.4
01-06 03:00:00+01:00,5214.061837,0.57,2241.2,197
01-06 04:00:00+01:00,5372.382751,0.57,2228.9,177.8
01-06 05:00:00+01:00,5674.79243,0.57,2264.7,149.4
01-06 06:00:00+01:00,5984.780885,0.57,2211.9,243.8
01-06 07:00:00+01:00,5988.021386,835.91,2250.3,351.6
01-06 08:00:00+01:00,5999.477337,1544.6,2353.1,322.4
01-06 09:00:00+01:00,6033.329833,2037.6,2428.2,371.4
01-06 10:00:00+01:00,6069.080681,2236.7,2360.9,387.2
01-06 11:00:00+01:00,6077.410889,2304.6,2301.5,335.8
01-06 12:00:00+01:00,6028.946783,2257.3,2202.2,335.2
01-06 13:00:00+01:00,5992.635659,2096,2071.2,364.8
01-06 14:00:00+01:00,5992.668364,1749,2025,346.2
01-06 15:00:00+01:00,5965.328512,1066.4,2052.8,324.8
01-06 16:00:00+01:00,6093.022667,0.57,2096.4,333
01-06 17:00:00+01:00,6583.265467,0.57,2042.8,401.6
01-06 18:00:00+01:00,6613.711475,0.57,2017.7,418
01-06 19:00:00+01:00,6500.330782,0.57,1987.2,363
01-06 20:00:00+01:00,6345.002734,0.57,2021.7,344.8
01-06 21:00:00+01:00,6078.869938,0.57,2145.8,300
01-06 22:00:00+01:00,5744.590594,0.57,2118.6,299.6
01-06 23:00:00+01:00,5524.046155,0.57,2121.5,313
01-07 00:00:00+01:00,5328.158833,0.57,2279.6,157
01-07 01:00:00+01:00,5271.935289,0.57,2432.1,198.2
01-07 02:00:00+01:00,5259.312006,0.57,2483.5,184.6
01-07 03:00:00+01:00,5306.191252,0.57,2486.8,194.6
01-07 04:00:00+01:00,5468.388889,0.57,2486.7,196.2
01-07 05:00:00+01:00,5776.992694,0.57,2480.7,170.6
01-07 06:00:00+01:00,6094.68775,0.57,2492.9,302.6
01-07 07:00:00+01:00,6086.485765,851.61,2485.3,347.6
01-07 08:00:00+01:00,6044.427948,1456.7,2481.7,355.4
01-07 09:00:00+01:00,6028.084221,1987.2,2468.6,310
01-07 10:00:00+01:00,5938.735103,1983.1,2410.6,322.6
01-07 11:00:00+01:00,6046.900238,2149.7,2389.8,342.4
01-07 12:00:00+01:00,6035.424925,2220.2,2385.4,327.2
01-07 13:00:00+01:00,6000.499997,2071.9,2380.2,357
01-07 14:00:00+01:00,5985.603749,1763.6,2418.4,336.4
01-07 15:00:00+01:00,5968.616744,1075.1,2441.4,359
01-07 16:00:00+01:00,6106.011021,0.57,2442,410.6
01-07 17:00:00+01:00,6569.456821,0.57,2410.8,436
01-07 18:00:00+01:00,6600.090858,0.57,2490.7,414
01-07 19:00:00+01:00,6504.422947,0.57,2491.9,304.2
01-07 20:00:00+01:00,6358.447496,0.57,2492.2,240
01-07 21:00:00+01:00,6087.506944,0.57,2430.3,213
01-07 22:00:00+01:00,5756.408645,0.57,2475.5,212.2
01-07 23:00:00+01:00,5533.846351,0.57,2331.8,216.6
01-08 00:00:00+01:00,5374.091702,0.57,1911.3,184.2
01-08 01:00:00+01:00,5324.802065,0.57,2179,199
01-08 02:00:00+01:00,5318.201899,0.57,2191.4,163.8
01-08 03:00:00+01:00,5380.7449,0.57,1885.4,167.8
01-08 04:00:00+01:00,5546.968312,0.57,1222.8,162.6
01-08 05:00:00+01:00,5894.049565,0.57,1204.4,141
01-08 06:00:00+01:00,6254.307615,0.57,1360.4,150.6
01-08 07:00:00+01:00,6230.79171,805.61,1831.6,288.6
01-08 08:00:00+01:00,6162.030374,1467.2,2307.9,251.4
01-08 09:00:00+01:00,6139.296515,1899,2404.5,338.6
01-08 10:00:00+01:00,6117.594969,2123.1,2441.1,350.6
01-08 11:00:00+01:00,6088.163516,2224,2485.1,349.8
01-08 12:00:00+01:00,6031.591177,2234.9,2494,350.2
01-08 13:00:00+01:00,6001.501156,2092.5,2501.6,297.8
01-08 14:00:00+01:00,5962.828009,1746.9,2498.8,279.8
01-08 15:00:00+01:00,5978.856907,1104.5,2489.6,343.8
01-08 16:00:00+01:00,6158.781897,0.57,2481.9,325.6
01-08 17:00:00+01:00,6623.692413,0.57,2502.2,352.6
01-08 18:00:00+01:00,6650.047006,0.57,2492,279.4
01-08 19:00:00+01:00,6552.92773,0.57,2439.1,273.8
01-08 20:00:00+01:00,6406.648611,0.57,2427.8,279
01-08 21:00:00+01:00,6119.092205,0.57,2433,265.4
01-08 22:00:00+01:00,5801.600657,0.57,2377.9,277.8
01-08 23:00:00+01:00,5564.7858,0.57,2374.8,155.8
01-09 00:00:00+01:00,5403.713303,0.57,2387.4,147.4
01-09 01:00:00+01:00,5336.503477,0.57,2324.9,231
01-09 02:00:00+01:00,5339.833948,0.57,2399.3,209.8
01-09 03:00:00+01:00,5394.199568,0.57,2395.1,202.2
01-09 04:00:00+01:00,5555.805454,0.57,2332.9,200.2
01-09 05:00:00+01:00,5897.507823,0.57,2252.2,181.8
01-09 06:00:00+01:00,6208.402491,0.57,2143.4,243.2
01-09 07:00:00+01:00,6197.807149,842.71,2026.5,290.2
01-09 08:00:00+01:00,6178.838934,1517,1875.6,311.2
01-09 09:00:00+01:00,6154.97206,1991.3,1784.6,307
01-09 10:00:00+01:00,6082.151479,2192.8,1220.2,331.8
01-09 11:00:00+01:00,6032.516691,2264.9,737.2,362.2
01-09 12:00:00+01:00,5997.792371,2234.8,489.6,336.2
01-09 13:00:00+01:00,5981.081519,2101.9,392.5,328.2
01-09 14:00:00+01:00,5949.064305,1791.3,230.6,232.6
01-09 15:00:00+01:00,5956.913043,1114.4,334.7,231.6
01-09 16:00:00+01:00,6064.872782,0.57,352.6,239.2
01-09 17:00:00+01:00,6567.309051,0.57,463.81,242.4
01-09 18:00:00+01:00,6608.006867,0.57,1250.5,243.4
01-09 19:00:00+01:00,6488.05468,0.57,1469.1,254.6
01-09 20:00:00+01:00,6323.737893,0.57,1593.8,249.4
01-09 21:00:00+01:00,6052.732969,0.57,1746,237.6
01-09 22:00:00+01:00,5742.915715,0.57,1695.4,282.4
01-09 23:00:00+01:00,5506.35535,0.57,1821,198.8
01-10 00:00:00+01:00,5351.745779,0.57,2003.2,205.8
01-10 01:00:00+01:00,5294.476588,0.57,2018.7,210
01-10 02:00:00+01:00,5288.985552,0.57,1950.2,193
01-10 03:00:00+01:00,5333.529794,0.57,1788.7,161.6
01-10 04:00:00+01:00,5486.247601,0.57,1745.3,155.2
01-10 05:00:00+01:00,5808.281236,0.57,1803.8,184
01-10 06:00:00+01:00,6088.414143,0.57,1977.9,290
01-10 07:00:00+01:00,6099.909799,852.81,2025.4,290.4
01-10 08:00:00+01:00,6076.413098,1543.3,2095.6,284
01-10 09:00:00+01:00,6089.733936,2008.9,2163.3,228.4
01-10 10:00:00+01:00,6097.129468,2206.8,2086.8,161.4
01-10 11:00:00+01:00,6073.196843,2281.4,1962.1,160.4
01-10 12:00:00+01:00,6028.452428,2244.1,1810.6,233.2
01-10 13:00:00+01:00,6003.529174,2101.1,1649.6,240.4
01-10 14:00:00+01:00,5949.168762,1788.9,1554.6,228.4
01-10 15:00:00+01:00,5902.0471,1143.9,1491.4,244.8
01-10 16:00:00+01:00,5993.380919,0.57,1519.31,162
01-10 17:00:00+01:00,6383.210277,0.57,1511.52,215.2
01-10 18:00:00+01:00,6380.508169,0.57,1647.31,222.2
01-10 19:00:00+01:00,6266.833701,0.57,1746.8,207.6
01-10 20:00:00+01:00,6142.62678,0.57,1532.5,220.6
01-10 21:00:00+01:00,5943.679982,0.57,1329.9,222.2
01-10 22:00:00+01:00,5699.599182,0.57,1795.2,296.2
01-10 23:00:00+01:00,5483.378493,0.57,1770.8,179
01-11 00:00:00+01:00,5316.335875,0.57,1546.3,215.4
01-11 01:00:00+01:00,5242.807467,0.57,1398.1,216.4
01-11 02:00:00+01:00,5207.958355,0.57,1429.5,192.4
01-11 03:00:00+01:00,5203.447394,0.57,1605.7,184.4
01-11 04:00:00+01:00,5244.893384,0.57,1396.5,169
01-11 05:00:00+01:00,5350.753382,0.57,1176.2,189.2
01-11 06:00:00+01:00,5485.739676,0.57,782.7,268.2
01-11 07:00:00+01:00,5541.763844,613.19,279.8,200.4
01-11 08:00:00+01:00,5662.637523,832.03,202.7,175.2
01-11 09:00:00+01:00,5756.208065,1027.41,189.3,181.4
01-11 10:00:00+01:00,5805.58777,930.3,188.42,156
01-11 11:00:00+01:00,5761.427506,968.6,320.9,192.6
01-11 12:00:00+01:00,5705.713676,1220.71,605.1,246.2
01-11 13:00:00+01:00,5633.90855,1190.82,733.3,252.6
01-11 14:00:00+01:00,5587.409636,990.19,690.7,234
01-11 15:00:00+01:00,5581.535458,471.99,666.6,225.4
01-11 16:00:00+01:00,5718.132333,0.57,835.3,194.8
01-11 17:00:00+01:00,6142.054191,0.57,923,231
01-11 18:00:00+01:00,6191.528024,0.57,1171.3,261.8
01-11 19:00:00+01:00,6106.112746,0.57,1273.9,268.8
01-11 20:00:00+01:00,5990.079941,0.57,1651.4,272.8
01-11 21:00:00+01:00,5815.511592,0.57,1587.9,283.2
01-11 22:00:00+01:00,5601.654907,0.57,1947.6,171.2
01-11 23:00:00+01:00,5425.627254,0.57,1884.9,174.4
01-12 00:00:00+01:00,5274.377272,0.57,2029.6,151.6
01-12 01:00:00+01:00,5200.155966,0.57,1923.1,147.4
01-12 02:00:00+01:00,5151.684017,0.57,2181.2,111.4
01-12 03:00:00+01:00,5131.178439,0.57,2255.6,125
01-12 04:00:00+01:00,5169.83573,0.57,2151.2,134.6
01-12 05:00:00+01:00,5260.019463,0.57,2106.4,135.8
01-12 06:00:00+01:00,5356.642236,0.57,2051.7,120.4
01-12 07:00:00+01:00,5385.169704,865.02,1968,208.4
01-12 08:00:00+01:00,5462.91606,1422.91,1907.8,161.6
01-12 09:00:00+01:00,5526.93472,2002.1,1920.3,169.4
01-12 10:00:00+01:00,5543.251082,2158.6,1730,169.2
01-12 11:00:00+01:00,5537.208808,2183.8,1547.9,186.2
01-12 12:00:00+01:00,5518.86076,2325.6,1460.1,218.6
01-12 13:00:00+01:00,5486.730402,2126.1,1386.6,194.2
01-12 14:00:00+01:00,5468.070737,1786.2,1373.2,194.2
01-12 15:00:00+01:00,5488.767554,1224.6,1384.4,189
01-12 16:00:00+01:00,5660.794907,0.57,1430.8,167
01-12 17:00:00+01:00,6208.422993,0.57,1430.7,163.4
01-12 18:00:00+01:00,6352.496489,0.57,1586.1,165.8
01-12 19:00:00+01:00,6296.379557,0.57,1731.9,162.6
01-12 20:00:00+01:00,6169.87874,0.57,1603.9,201
01-12 21:00:00+01:00,5996.314349,0.57,1571.6,209.6
01-12 22:00:00+01:00,5774.306681,0.57,1544.6,221.8
01-12 23:00:00+01:00,5569.559963,0.57,1403.5,104
01-13 00:00:00+01:00,5421.046682,0.57,1455.6,120.8
01-13 01:00:00+01:00,5352.185261,0.57,1649.9,104.6
01-13 02:00:00+01:00,5341.244369,0.57,1552.1,98.2
01-13 03:00:00+01:00,5388.762828,0.57,1753.5,103
01-13 04:00:00+01:00,5518.956145,0.57,1605.6,142.6
01-13 05:00:00+01:00,5769.032139,0.57,1464.6,93
01-13 06:00:00+01:00,6019.518348,0.57,1081.5,88.2
01-13 07:00:00+01:00,6046.362023,892.81,928,113.6
01-13 08:00:00+01:00,6117.149453,1609.2,689,196.6
01-13 09:00:00+01:00,6194.681762,2105.8,549.5,104
01-13 10:00:00+01:00,6180.448992,2284.7,599.2,90.4
01-13 11:00:00+01:00,6106.758644,2357.4,494.1,88.8
01-13 12:00:00+01:00,6025.631652,2341.3,488.2,107.4
01-13 13:00:00+01:00,5964.694901,2198.5,470.7,99.8
01-13 14:00:00+01:00,5906.202858,1907.8,735.4,129.2
01-13 15:00:00+01:00,5888.371122,1224.7,987.8,113.4
01-13 16:00:00+01:00,6093.261101,0.57,1423.1,114.6
01-13 17:00:00+01:00,6647.910136,0.57,2087.5,108.6
01-13 18:00:00+01:00,6736.887643,0.57,2225.5,183.4
01-13 19:00:00+01:00,6680.124237,0.57,1961.1,195.4
01-13 20:00:00+01:00,6522.414207,0.57,2190.5,227
01-13 21:00:00+01:00,6258.48616,0.57,2256.3,186.2
01-13 22:00:00+01:00,5951.153652,0.57,2133.5,142.6
01-13 23:00:00+01:00,5717.251637,0.57,2292.6,100.2
