,Demand,Solar,Wind,Hydro
04-01 03:00:00+02:00,5000.389436,0.57,1478.6,376.8
04-01 04:00:00+02:00,5106.073403,0.57,670.5,452.2
04-01 05:00:00+02:00,5314.920336,0.57,1217,498.2
04-01 06:00:00+02:00,5497.600307,313.62,592.6,582.4
04-01 07:00:00+02:00,5682.848223,558.94,749.6,580.4
04-01 08:00:00+02:00,5846.022319,744.1,753.3,596
04-01 09:00:00+02:00,5965.758649,874.21,783,584
04-01 10:00:00+02:00,6018.783472,705.6,802.9,595.6
04-01 11:00:00+02:00,6074.746383,1061.8,479.8,589.2
04-01 12:00:00+02:00,6083.746559,1006.2,539.8,588.2
04-01 13:00:00+02:00,6076.371771,794.2,500.9,589.4
04-01 14:00:00+02:00,6070.37109,466.71,377.5,572
04-01 15:00:00+02:00,6091.936566,395.69,440.8,558.2
04-01 16:00:00+02:00,6175.304475,202.14,333.01,600.2
04-01 17:00:00+02:00,6322.109812,0.57,49.32,599.6
04-01 18:00:00+02:00,6571.72648,0.57,110.51,621.4
04-01 19:00:00+02:00,6516.874357,0.57,347.31,637
04-01 20:00:00+02:00,6284.817592,0.57,375.5,608
04-01 21:00:00+02:00,5967.518567,0.57,392.1,424.8
04-01 22:00:00+02:00,5598.062036,0.57,296.3,435.2
04-01 23:00:00+02:00,5333.893247,0.57,266.5,413
04-02 00:00:00+02:00,5179.720688,0.57,75.6,371.4
04-02 01:00:00+02:00,5131.222343,0.57,119.81,356.4
04-02 02:00:00+02:00,5103.317651,0.57,137.71,364.8
04-02 03:00:00+02:00,5123.113853,0.57,38.9,350.4
04-02 04:00:00+02:00,5204.216878,0.57,141,344.8
04-02 05:00:00+02:00,5362.923162,3.65,118.41,379
04-02 06:00:00+02:00,5535.050371,767.76,187.82,560.6
04-02 07:00:00+02:00,5727.186042,1497.4,290.31,585
04-02 08:00:00+02:00,5890.463417,1807,229.51,603.8
04-02 09:00:00+02:00,6004.864279,1698.6,105.31,624.2
04-02 10:00:00+02:00,6093.947106,1595.7,59.1,626.8
04-02 11:00:00+02:00,6117.623986,1681.7,99.4,597.8
04-02 12:00:00+02:00,6107.711764,1586.7,226.3,552
04-02 13:00:00+02:00,6088.1178,1509.4,321.3,523
04-02 14:00:00+02:00,6036.442431,1282,354.8,543.6
04-02 15:00:00+02:00,5970.670286,1007.3,341,535.8
04-02 16:00:00+02:00,5951.528194,691.61,330.1,530.6
04-02 17:00:00+02:00,6012.135539,0.57,1146.5,574
04-02 18:00:00+02:00,6462.999254,0.57,1209,542.4
04-02 19:00:00+02:00,6522.374329,0.57,1482.1,549.2
04-02 20:00:00+02:00,6325.410365,0.57,1617.9,453
04-02 21:00:00+02:00,5955.07929,0.57,1857.6,459.2
04-02 22:00:00+02:00,5576.140378,0.57,1866.4,445.6
04-02 23:00:00+02:00,5322.801908,0.57,1379.9,359.4
04-03 00:00:00+02:00,5174.628489,0.57,1303.6,317.6
04-03 01:00:00+02:00,5124.594404,0.57,1496.4,345.6
04-03 02:00:00+02:00,5107.742364,0.57,1836.8,330.4
04-03 03:00:00+02:00,5131.519256,0.57,1869,324
04-03 04:00:00+02:00,5226.125173,0.57,1873.4,326.8
04-03 05:00:00+02:00,5382.189477,61.59,1786.6,408.8
04-03 06:00:00+02:00,5549.535839,824.76,1577.3,441.2
04-03 07:00:00+02:00,5698.847252,1516.9,1347,478.8
04-03 08:00:00+02:00,5848.083291,1968.3,1055.8,584
04-03 09:00:00+02:00,5965.887382,2255.9,589.41,601.2
04-03 10:00:00+02:00,6047.87776,2449,300.21,601.4
04-03 11:00:00+02:00,6087.402846,2512.3,384.11,596.4
04-03 12:00:00+02:00,6077.859772,2408.6,266.21,596.4
04-03 13:00:00+02:00,6068.939137,2418.3,145.41,597.4
04-03 14:00:00+02:00,6010.679074,2289.3,165.2,607.8
04-03 15:00:00+02:00,5958.937888,1873.6,201.61,604.4
04-03 16:00:00+02:00,5924.826827,949.71,103.91,608.8
04-03 17:00:00+02:00,5995.455468,3.59,178.7,600.2
04-03 18:00:00+02:00,6417.698754,0.57,142,639.6
04-03 19:00:00+02:00,6463.151102,0.57,143.4,642.2
04-03 20:00:00+02:00,6280.525383,0.57,142.7,663.8
04-03 21:00:00+02:00,5917.259471,0.57,800.1,622.4
04-03 22:00:00+02:00,5527.679537,0.57,735.3,476.6
04-03 23:00:00+02:00,5297.513017,0.57,666.8,407.6
04-04 00:00:00+02:00,5151.214685,0.57,308.1,414.2
04-04 01:00:00+02:00,5109.149778,0.57,293.6,463
04-04 02:00:00+02:00,5094.64563,0.57,871.6,451.4
04-04 03:00:00+02:00,5111.294985,0.57,1356.1,415.2
04-04 04:00:00+02:00,5185.290272,0.57,1143.9,458
04-04 05:00:00+02:00,5332.800559,45.19,900.3,433.2
04-04 06:00:00+02:00,5459.022299,409.94,898.8,526.4
04-04 07:00:00+02:00,5645.073301,819.91,989.3,576.2
04-04 08:00:00+02:00,5827.717499,1365.2,851.3,574
04-04 09:00:00+02:00,5966.525564,1506.8,772,615
04-04 10:00:00+02:00,6046.415428,1485.2,517.3,671.8
04-04 11:00:00+02:00,6058.602627,1307.9,285.4,690
04-04 12:00:00+02:00,6044.952899,1365.3,146.7,690
04-04 13:00:00+02:00,6010.826684,1434.1,124.51,641.8
04-04 14:00:00+02:00,5988.914935,1360.3,114.4,654.6
04-04 15:00:00+02:00,5912.085226,829.3,101.3,650.2
04-04 16:00:00+02:00,5919.762644,494.92,68.3,630.2
04-04 17:00:00+02:00,6033.820671,0.57,21.5,628.2
04-04 18:00:00+02:00,6374.117975,0.57,15.91,595.6
04-04 19:00:00+02:00,6354.55841,0.57,51.81,661.4
04-04 20:00:00+02:00,6157.516051,0.57,189.2,539.8
04-04 21:00:00+02:00,5890.893607,0.57,513.5,527.8
04-04 22:00:00+02:00,5560.497432,0.57,502.3,398.8
04-04 23:00:00+02:00,5326.843715,0.57,493.4,372
04-05 00:00:00+02:00,5188.427924,0.57,883.8,324
04-05 01:00:00+02:00,5128.976182,0.57,1043.3,356.8
04-05 02:00:00+02:00,5092.412615,0.57,873.4,340
04-05 03:00:00+02:00,5090.548344,0.57,747.7,331.2
04-05 04:00:00+02:00,5117.565941,0.57,603.1,425.6
04-05 05:00:00+02:00,5147.21432,26.63,744.3,446.2
04-05 06:00:00+02:00,5187.768805,511.98,681.1,418.4
04-05 07:00:00+02:00,5289.359871,915.43,527.2,524.8
04-05 08:00:00+02:00,5428.474156,971.31,313.6,579.2
04-05 09:00:00+02:00,5545.612393,772.6,273.1,698.2
04-05 10:00:00+02:00,5597.185227,1140.11,352.7,703.6
04-05 11:00:00+02:00,5613.601737,1129.21,1022.9,712.2
04-05 12:00:00+02:00,5539.006777,1547.4,1464.2,707.4
04-05 13:00:00+02:00,5482.601115,1599.7,1801.4,712.4
04-05 14:00:00+02:00,5442.70236,1436.21,1904.7,708.8
04-05 15:00:00+02:00,5423.538204,1613.22,2036,711.6
04-05 16:00:00+02:00,5427.677628,869.12,1878.9,702.8
04-05 17:00:00+02:00,5512.017231,0.57,1020.5,712.4
04-05 18:00:00+02:00,5958.217622,0.57,764.1,712
04-05 19:00:00+02:00,6031.521105,0.57,695.6,625
04-05 20:00:00+02:00,5883.647367,0.57,877,481.4
04-05 21:00:00+02:00,5647.248726,0.57,738.3,537.8
04-05 22:00:00+02:00,5420.930777,0.57,960,578.6
04-05 23:00:00+02:00,5259.889893,0.57,937.2,513
04-06 00:00:00+02:00,5136.681273,0.57,835.8,512.8
04-06 01:00:00+02:00,5085.649826,0.57,523.4,573.8
04-06 02:00:00+02:00,5071.884973,0.57,528.3,581
04-06 03:00:00+02:00,5074.665001,0.57,510.6,627.2
04-06 04:00:00+02:00,5100.991903,0.57,453.3,697.4
04-06 05:00:00+02:00,5116.383008,73.07,493.1,657
04-06 06:00:00+02:00,5137.701859,950,628.9,680.6
04-06 07:00:00+02:00,5191.302034,1701.1,707.2,661.4
04-06 08:00:00+02:00,5263.381084,2157.9,421.2,700
04-06 09:00:00+02:00,5324.27596,2417.1,366.6,708.4
04-06 10:00:00+02:00,5364.881646,2580,338,733.6
04-06 11:00:00+02:00,5381.241339,2637.5,231.7,726
04-06 12:00:00+02:00,5392.658867,2623.9,268.8,727.8
04-06 13:00:00+02:00,5395.462094,2503.2,253.5,724
04-06 14:00:00+02:00,5401.318687,2297,196.6,700
04-06 15:00:00+02:00,5422.590657,1809.9,174.2,702
04-06 16:00:00+02:00,5450.434809,1063.2,220.6,701.6
04-06 17:00:00+02:00,5550.564023,0.57,293.8,697.4
04-06 18:00:00+02:00,5989.381829,0.57,227.9,694.2
04-06 19:00:00+02:00,6075.471463,0.57,430.1,636.8
04-06 20:00:00+02:00,5878.731548,0.57,894.3,638.4
04-06 21:00:00+02:00,5574.386306,0.57,1210.8,590.2
04-06 22:00:00+02:00,5288.871709,0.57,1347.8,405.4
04-06 23:00:00+02:00,5156.239135,0.57,1013.2,345.4
04-07 00:00:00+02:00,5075.853334,0.57,701.3,418.8
04-07 01:00:00+02:00,5058.757315,0.57,498.2,418
04-07 02:00:00+02:00,5058.056746,0.57,403.4,427.6
04-07 03:00:00+02:00,5086.04813,0.57,336.7,376.4
04-07 04:00:00+02:00,5189.643096,0.57,406.3,618.8
04-07 05:00:00+02:00,5401.165626,9.79,525.1,697
04-07 06:00:00+02:00,5567.167168,366.05,784,645.4
04-07 07:00:00+02:00,5714.479279,892.7,939.9,727.8
04-07 08:00:00+02:00,5872.447121,1051.3,1012.5,735.4
04-07 09:00:00+02:00,6032.048935,1173.8,679.5,705.8
04-07 10:00:00+02:00,6137.60343,1222.2,349.7,680.4
04-07 11:00:00+02:00,6212.428697,1017.7,415.1,670.4
04-07 12:00:00+02:00,6248.067087,921.7,819.3,677
04-07 13:00:00+02:00,6180.083558,794,834,704.6
04-07 14:00:00+02:00,6271.807979,777.01,543,698.2
04-07 15:00:00+02:00,6233.992516,629.21,393.8,719.8
04-07 16:00:00+02:00,6205.294201,373.22,420.4,720.2
04-07 17:00:00+02:00,6237.714108,0.57,1734.9,691
04-07 18:00:00+02:00,6674.310391,0.57,1634.8,696.2
04-07 19:00:00+02:00,6642.329195,0.57,1083.8,706.8
04-07 20:00:00+02:00,6263.308489,0.57,1072,643.2
04-07 21:00:00+02:00,5855.562634,0.57,1050,559
04-07 22:00:00+02:00,5442.630455,0.57,763.3,451.2
04-07 23:00:00+02:00,5254.318498,0.57,747.9,392.8
04-08 00:00:00+02:00,5145.619755,0.57,1051.9,451.2
04-08 01:00:00+02:00,5110.068569,0.57,888.3,393.4
04-08 02:00:00+02:00,5098.04037,0.57,839.7,396.4
04-08 03:00:00+02:00,5122.700589,0.57,915.1,409.2
04-08 04:00:00+02:00,5224.482842,0.57,609.3,580.8
04-08 05:00:00+02:00,5442.466922,10.59,296.3,697.2
04-08 06:00:00+02:00,5637.042227,464.55,70.1,667.2
04-08 07:00:00+02:00,5841.580769,849.44,64.6,761.6
04-08 08:00:00+02:00,6038.02548,1072.1,29.32,766.2
04-08 09:00:00+02:00,6199.36326,1246.2,2.32,702.6
04-08 10:00:00+02:00,6329.458414,1358.2,1.82,715.4
04-08 11:00:00+02:00,6379.170071,1291.7,16.02,709
04-08 12:00:00+02:00,6375.194178,1418.7,28.91,692.2
04-08 13:00:00+02:00,6380.152558,1622.7,69.4,606.2
04-08 14:00:00+02:00,6331.58513,1499.81,100.2,599.4
04-08 15:00:00+02:00,6313.332586,1186.74,61.6,544
04-08 16:00:00+02:00,6271.792034,693.15,72.6,503
04-08 17:00:00+02:00,6306.753615,1.54,108.4,526.6
04-08 18:00:00+02:00,6736.57669,0.57,125.31,489.8
04-08 19:00:00+02:00,6752.849435,0.57,136.11,483.8
04-08 20:00:00+02:00,6368.459331,0.57,354.8,479.8
04-08 21:00:00+02:00,5871.814313,0.57,417.8,457.6
04-08 22:00:00+02:00,5455.783639,0.57,185.9,383.2
04-08 23:00:00+02:00,5280.384444,0.57,260.6,382.8
04-09 00:00:00+02:00,5154.106749,0.57,244.5,428
04-09 01:00:00+02:00,5113.404573,0.57,201.1,426.4
04-09 02:00:00+02:00,5101.592379,0.57,142.6,408.4
04-09 03:00:00+02:00,5123.987876,0.57,411.7,399.6
04-09 04:00:00+02:00,5248.353836,0.57,486,389.4
04-09 05:00:00+02:00,5488.374449,35.83,365.8,523
04-09 06:00:00+02:00,5697.145165,762.67,402.31,500.6
04-09 07:00:00+02:00,5845.850357,1365.2,405.22,519.4
04-09 08:00:00+02:00,5992.522568,1547.8,621.9,562.4
04-09 09:00:00+02:00,6093.050486,1754.3,513.1,651
04-09 10:00:00+02:00,6130.23548,1699.4,416.3,664.8
04-09 11:00:00+02:00,6096.177414,1693.9,350.2,644.8
04-09 12:00:00+02:00,6079.190719,1466.8,227.1,639.6
04-09 13:00:00+02:00,6033.840221,1414,339.4,627
04-09 14:00:00+02:00,5984.994414,1499.2,326.3,546.2
04-09 15:00:00+02:00,5964.231103,1388.35,397.6,515.8
04-09 16:00:00+02:00,5924.703384,807.28,520.2,510.8
04-09 17:00:00+02:00,5976.529977,1.55,1431.6,425.8
04-09 18:00:00+02:00,6386.474049,0.57,1284.7,462.6
04-09 19:00:00+02:00,6550.429789,0.57,1741.1,379.8
04-09 20:00:00+02:00,6265.21041,0.57,1828.2,394
04-09 21:00:00+02:00,5869.945753,0.57,1990.1,342.8
04-09 22:00:00+02:00,5444.167827,0.57,2192.3,331.4
04-09 23:00:00+02:00,5252.283371,0.57,2264.3,332.8
04-10 00:00:00+02:00,5155.766475,0.57,2327.7,346.2
04-10 01:00:00+02:00,5122.642331,0.57,2358.7,462.6
04-10 02:00:00+02:00,5127.789738,0.57,2359.5,443.6
04-10 03:00:00+02:00,5171.387617,0.57,2351.5,542.6
04-10 04:00:00+02:00,5330.792492,0.57,2350.2,647.2
04-10 05:00:00+02:00,5605.936187,90.96,2333.4,726.4
04-10 06:00:00+02:00,5753.868931,992.04,2229.2,710.6
04-10 07:00:00+02:00,5852.985387,1677.91,2303.1,739.4
04-10 08:00:00+02:00,5945.811927,2110.7,2207.4,695.6
04-10 09:00:00+02:00,5981.593545,2386.6,2037.1,690.6
04-10 10:00:00+02:00,6007.568344,2562.7,2068.9,740
04-10 11:00:00+02:00,5993.763207,2633.1,2098.3,705.2
04-10 12:00:00+02:00,6003.03716,2612.9,2047.6,714.4
04-10 13:00:00+02:00,5992.502014,2476,2123.5,703.2
04-10 14:00:00+02:00,5975.396885,2196.1,2128.5,721.6
04-10 15:00:00+02:00,5916.45097,1673.2,1978.6,717.6
04-10 16:00:00+02:00,5870.828338,914.51,1737,695
04-10 17:00:00+02:00,5842.312232,15.49,750.8,709
04-10 18:00:00+02:00,6276.285711,0.57,657.5,663
04-10 19:00:00+02:00,6450.54879,0.57,660.7,638
04-10 20:00:00+02:00,6185.961461,0.57,733.5,615.6
04-10 21:00:00+02:00,5779.183033,0.57,459.1,467.8
04-10 22:00:00+02:00,5392.922643,0.57,423.9,374
04-10 23:00:00+02:00,5252.944332,0.57,357.9,344.8
04-11 00:00:00+02:00,5147.576133,0.57,334.3,402.4
04-11 01:00:00+02:00,5120.990284,0.57,114.4,417.6
04-11 02:00:00+02:00,5106.267933,0.57,51.13,407.8
04-11 03:00:00+02:00,5146.896683,0.57,64.13,528.4
04-11 04:00:00+02:00,5305.004132,0.57,56.72,494.8
04-11 05:00:00+02:00,5568.204602,121.95,20.02,662.6
04-11 06:00:00+02:00,5778.221504,989.4,1.63,629.8
04-11 07:00:00+02:00,5926.532733,1685.7,1.23,666.8
04-11 08:00:00+02:00,6029.417342,2196.7,3.62,780.2
04-11 09:00:00+02:00,6130.861555,2374,2.73,792.8
04-11 10:00:00+02:00,6224.067795,2617.1,0.13,781.6
04-11 11:00:00+02:00,6216.369902,2571.9,27.01,776.2
04-11 12:00:00+02:00,6220.661851,2500.3,81.7,782
04-11 13:00:00+02:00,6207.802388,2565,139.9,782.2
04-11 14:00:00+02:00,6176.241336,2314.8,179.9,778.6
04-11 15:00:00+02:00,6059.809785,1598.41,153,817
04-11 16:00:00+02:00,5953.59756,993.1,150.4,776.6
04-11 17:00:00+02:00,5875.67339,27.46,168.8,710.6
04-11 18:00:00+02:00,6248.764053,0.57,77.2,724.8
04-11 19:00:00+02:00,6317.609268,0.57,92.6,645.6
04-11 20:00:00+02:00,6040.119553,0.57,98.8,539.4
04-11 21:00:00+02:00,5796.616727,0.57,527.7,508.2
04-11 22:00:00+02:00,5445.496887,0.57,915,354.8
04-11 23:00:00+02:00,5261.82463,0.57,1024.4,333.2
04-12 00:00:00+02:00,5141.657001,0.57,1033.7,385
04-12 01:00:00+02:00,5103.935641,0.57,997.1,382.4
04-12 02:00:00+02:00,5090.581109,0.57,889.9,401.2
04-12 03:00:00+02:00,5092.446636,0.57,862.5,482
04-12 04:00:00+02:00,5131.26587,0.57,653.7,574.2
04-12 05:00:00+02:00,5154.124172,126.45,440.6,597
04-12 06:00:00+02:00,5226.745285,914.62,278.3,602.6
04-12 07:00:00+02:00,5347.803792,1614.6,301.1,744.8
04-12 08:00:00+02:00,5509.251474,2085.5,822.9,781.6
04-12 09:00:00+02:00,5610.742529,2391.9,966.7,803
04-12 10:00:00+02:00,5679.456462,2569.7,1520.6,801.2
04-12 11:00:00+02:00,5656.065504,2672.9,1963.2,801.6
04-12 12:00:00+02:00,5654.915086,2679.8,2236.4,810.6
04-12 13:00:00+02:00,5664.8974,2561.7,2134.9,826
04-12 14:00:00+02:00,5673.663906,2335.1,2238.2,842.8
04-12 15:00:00+02:00,5673.356436,1888.1,2091.6,810.8
04-12 16:00:00+02:00,5691.029131,1162.9,1597.2,812
04-12 17:00:00+02:00,5683.491401,40.66,1495.4,807
04-12 18:00:00+02:00,6047.473894,0.57,1157.4,772.6
04-12 19:00:00+02:00,6105.435375,0.57,1136.6,700.8
04-12 20:00:00+02:00,5922.615582,0.57,1040.3,699.2
04-12 21:00:00+02:00,5670.945374,0.57,1310.1,756.4
04-12 22:00:00+02:00,5397.208322,0.57,1653.2,427.2
04-12 23:00:00+02:00,5228.881981,0.57,1729.9,428.8
04-13 00:00:00+02:00,5124.454613,0.57,1739.4,435.4
04-13 01:00:00+02:00,5086.799137,0.57,1576.4,418.4
04-13 02:00:00+02:00,5075.536007,0.57,1382.4,420.8
04-13 03:00:00+02:00,5069.868077,0.57,1205.7,532.8
04-13 04:00:00+02:00,5092.064858,0.57,1150.3,678.8
04-13 05:00:00+02:00,5094.038441,149.84,1176.4,694.4
04-13 06:00:00+02:00,5134.499958,1028.1,1319.3,818.2
04-13 07:00:00+02:00,5214.2331,1755.3,1401,799.4
04-13 08:00:00+02:00,5323.903694,2231,1033.4,821.8
04-13 09:00:00+02:00,5434.326092,2513.8,851.3,804.6
04-13 10:00:00+02:00,5489.462206,2677.7,574.9,800.2
04-13 11:00:00+02:00,5548.759237,2745.5,445.9,798.6
04-13 12:00:00+02:00,5557.932798,2699.5,478.7,887.6
04-13 13:00:00+02:00,5601.611648,2420.1,331.7,882.6
04-13 14:00:00+02:00,5626.463052,1727.8,232.71,872.6
04-13 15:00:00+02:00,5646.267634,1708.3,144.1,834
04-13 16:00:00+02:00,5670.077725,918.92,90.51,833.8
04-13 17:00:00+02:00,5719.522557,18.6,0.04,873.2
04-13 18:00:00+02:00,6072.093802,0.57,61.62,821.4
04-13 19:00:00+02:00,6206.01819,0.57,50.23,721.8
04-13 20:00:00+02:00,6006.834945,0.57,73.23,602.2
04-13 21:00:00+02:00,5641.052112,0.57,263.01,601.8
04-13 22:00:00+02:00,5348.445795,0.57,318.51,483.4
04-13 23:00:00+02:00,5201.587637,0.57,310.6,461.2
04-14 00:00:00+02:00,5108.656129,0.57,325.3,495
04-14 01:00:00+02:00,5086.308972,0.57,430.6,502
04-14 02:00:00+02:00,5080.57227,0.57,355.8,508.4
04-14 03:00:00+02:00,5108.854029,0.57,434.11,498.4
04-14 04:00:00+02:00,5214.96103,0.57,504.71,513.2
04-14 05:00:00+02:00,5384.077597,151.82,522.3,549.6
04-14 06:00:00+02:00,5571.118512,503.16,409.7,659.2
04-14 07:00:00+02:00,5783.341767,683.31,570.7,813.4
04-14 08:00:00+02:00,5951.031109,1034.5,647.4,811.4
04-14 09:00:00+02:00,6079.061299,999.31,774.2,808.8
04-14 10:00:00+02:00,6138.674349,990.2,697.8,799.8
04-14 11:00:00+02:00,6241.121214,1172.5,670.1,796
04-14 12:00:00+02:00,6232.092009,1093.51,623.5,828.8
04-14 13:00:00+02:00,6193.503677,1152.81,606.3,855.8
04-14 14:00:00+02:00,6161.67989,1021.11,628,858.8
04-14 15:00:00+02:00,6084.899842,733.21,463.2,853.2
04-14 16:00:00+02:00,6024.203494,505.52,483.8,859.8
04-14 17:00:00+02:00,5988.214725,28.7,94.5,808.6
04-14 18:00:00+02:00,6400.445247,0.57,78.61,739
04-14 19:00:00+02:00,6492.043399,0.57,85.51,884.8
04-14 20:00:00+02:00,6226.575657,0.57,182.9,843.2
04-14 21:00:00+02:00,5803.439024,0.57,222.2,665
04-14 22:00:00+02:00,5446.167633,0.57,221.8,447.8
04-14 23:00:00+02:00,5249.554706,0.57,123.1,463.8
04-15 00:00:00+02:00,5144.879025,0.57,128.11,506.6
04-15 01:00:00+02:00,5106.334513,0.57,233.3,507.8
04-15 02:00:00+02:00,5102.28398,0.57,210.21,510.8
04-15 03:00:00+02:00,5126.234703,0.57,246.02,504.4
04-15 04:00:00+02:00,5260.45624,0.57,259.9,530.6
04-15 05:00:00+02:00,5416.700328,159.88,334.4,556.2
04-15 06:00:00+02:00,5574.090969,735.14,291.6,703.2
04-15 07:00:00+02:00,5758.44989,1186,251.6,794.2
04-15 08:00:00+02:00,5926.842548,1381,176.2,796
04-15 09:00:00+02:00,6045.79632,1660.1,195.2,794.4
04-15 10:00:00+02:00,6106.542804,1753.6,165.6,800.6
04-15 11:00:00+02:00,6103.761588,1657.3,122.7,796
04-15 12:00:00+02:00,6167.158498,1426.3,74.3,824
04-15 13:00:00+02:00,6172.944808,1302.3,81.2,860
04-15 14:00:00+02:00,6161.988207,1162.6,77.1,869.6
04-15 15:00:00+02:00,6113.384246,1509.2,49,853.2
04-15 16:00:00+02:00,6054.330316,864.7,71.2,856
04-15 17:00:00+02:00,6052.122615,3.85,84,808
04-15 18:00:00+02:00,6411.886442,0.57,147.8,758.8
04-15 19:00:00+02:00,6471.434364,0.57,168.7,769.8
04-15 20:00:00+02:00,6202.915144,0.57,440.5,657
04-15 21:00:00+02:00,5805.692941,0.57,472.8,589.2
04-15 22:00:00+02:00,5448.289716,0.57,523.3,420.4
04-15 23:00:00+02:00,5247.869042,0.57,568.4,403.6
04-16 00:00:00+02:00,5142.656806,0.57,734.8,452.2
04-16 01:00:00+02:00,5097.066416,0.57,1115.4,441.8
04-16 02:00:00+02:00,5093.763665,0.57,1217.4,425
04-16 03:00:00+02:00,5121.658991,0.57,1416.7,416
04-16 04:00:00+02:00,5232.695379,0.57,1631.1,461
04-16 05:00:00+02:00,5395.624997,296.55,1483.4,557.6
04-16 06:00:00+02:00,5565.803946,1031.3,1155.2,664
04-16 07:00:00+02:00,5741.204614,1735.1,1155.5,750.8
04-16 08:00:00+02:00,5910.326255,2165.5,1018.5,807.6
04-16 09:00:00+02:00,6071.013,2426.5,717.7,802.6
04-16 10:00:00+02:00,6183.079773,2582.3,1010.7,781.2
04-16 11:00:00+02:00,6309.357623,2645.6,728.6,781.6
04-16 12:00:00+02:00,6409.092141,2618.5,510.1,853
04-16 13:00:00+02:00,6496.371831,2505.5,451.8,862
04-16 14:00:00+02:00,6516.515939,2293.8,478,881.2
04-16 15:00:00+02:00,6499.812263,1864.8,660.2,885
04-16 16:00:00+02:00,6431.557798,1171.7,606.7,865.2
04-16 17:00:00+02:00,6279.181037,105.04,817,841.2
04-16 18:00:00+02:00,6566.796901,0.57,830,711.2
04-16 19:00:00+02:00,6654.06573,0.57,819.4,664.8
04-16 20:00:00+02:00,6346.508528,0.57,1205.7,603
04-16 21:00:00+02:00,5886.215469,0.57,1539.8,514.2
04-16 22:00:00+02:00,5507.855596,0.57,1592,357
04-16 23:00:00+02:00,5299.780737,0.57,1775.5,326
04-17 00:00:00+02:00,5171.033004,0.57,1792.4,328.4
04-17 01:00:00+02:00,5127.162294,0.57,1753.2,314
04-17 02:00:00+02:00,5112.248136,0.57,1888.3,313.2
04-17 03:00:00+02:00,5141.055075,0.57,1892.9,358.8
04-17 04:00:00+02:00,5254.885763,0.57,1886.2,436.4
04-17 05:00:00+02:00,5392.529652,303.52,2016,566
04-17 06:00:00+02:00,5590.167702,1040,1988,672
04-17 07:00:00+02:00,5821.425054,1720.9,1918.9,796.2
04-17 08:00:00+02:00,6052.836085,2138.2,1627.4,852.8
04-17 09:00:00+02:00,6302.041089,2380.7,1466.2,833.4
04-17 10:00:00+02:00,6522.84167,2528.4,1447.1,827.2
04-17 11:00:00+02:00,6756.433444,2579.7,1318.7,828.6
04-17 12:00:00+02:00,6941.264236,2557.5,1236.8,829
04-17 13:00:00+02:00,7089.226447,2446.2,1111.5,822.6
04-17 14:00:00+02:00,7204.746176,2266.3,1174,828.2
04-17 15:00:00+02:00,7198.396532,1806.6,1170.4,840
04-17 16:00:00+02:00,7066.064302,1130.3,776.1,817.2
04-17 17:00:00+02:00,6799.429632,112.94,706.2,827.2
04-17 18:00:00+02:00,6982.181204,0.57,639.2,744.6
04-17 19:00:00+02:00,7015.063056,0.57,436.1,758
04-17 20:00:00+02:00,6639.465242,0.57,837.8,672.8
04-17 21:00:00+02:00,6116.816083,0.57,789.4,596.4
04-17 22:00:00+02:00,5663.47646,0.57,794.7,405
04-17 23:00:00+02:00,5415.010779,0.57,878.7,349.6
04-18 00:00:00+02:00,5265.932901,0.57,1015.2,373.2
04-18 01:00:00+02:00,5192.794882,0.57,1159.3,309.2
04-18 02:00:00+02:00,5164.636522,0.57,1238.1,315.6
04-18 03:00:00+02:00,5179.08264,0.57,1157.6,420
04-18 04:00:00+02:00,5272.147556,0.57,1481.5,399.2
04-18 05:00:00+02:00,5401.778584,213.46,1573.3,472.2
04-18 06:00:00+02:00,5577.847993,831.01,1421.1,593.4
04-18 07:00:00+02:00,5850.965928,1451.2,1472.3,757
04-18 08:00:00+02:00,6067.855832,1829.2,1120.7,803.2
04-18 09:00:00+02:00,6343.277397,1841,1303.3,806.4
04-18 10:00:00+02:00,6430.923657,1557.4,1416.4,801.8
04-18 11:00:00+02:00,6413.435251,1446.5,1615.7,797.6
04-18 12:00:00+02:00,6440.060017,1829,1668,827.2
04-18 13:00:00+02:00,6407.824774,1781,1664.4,866.4
04-18 14:00:00+02:00,6355.519408,1659.4,1600.6,859
04-18 15:00:00+02:00,6252.002485,1045.68,1654.8,845.2
04-18 16:00:00+02:00,6180.153052,673.34,1547.2,838.2
04-18 17:00:00+02:00,6046.042701,66.55,1607.7,813.6
04-18 18:00:00+02:00,6255.045057,0.57,1777.7,725.2
04-18 19:00:00+02:00,6309.677261,0.57,1626.4,733.6
04-18 20:00:00+02:00,6092.340358,0.57,1739.4,667.2
04-18 21:00:00+02:00,5794.120447,0.57,1873.2,525
04-18 22:00:00+02:00,5487.992021,0.57,1670.6,330.8
04-18 23:00:00+02:00,5285.623087,0.57,1680.5,347.6
04-19 00:00:00+02:00,5167.40994,0.57,1541.4,409.6
04-19 01:00:00+02:00,5121.404142,0.57,1380.7,422.6
04-19 02:00:00+02:00,5095.996397,0.57,1365.1,451.4
04-19 03:00:00+02:00,5093.180538,0.57,1247.2,542.6
04-19 04:00:00+02:00,5120.175762,0.57,1033.5,542.4
04-19 05:00:00+02:00,5123.324736,279.45,824.9,571
04-19 06:00:00+02:00,5209.35897,992.59,530.9,649.2
04-19 07:00:00+02:00,5356.788623,1605.91,230.4,717.4
